day,FTM_share,LB_share,OPP_share,FTM_conv,LB_conv,OPP_conv,FTM_churn,LB_churn,OPP_churn
24,130.4776987354502,55.640916197149856,0.0,185.0,88.0,0.0,0.13690430747879728,0.03331773407130283,0.0
25,136.3853735246488,57.79566607499993,0.0,193.0,81.0,0.0,0.14329295273686166,0.03443931133911446,0.0
26,141.13689179032752,59.86828068455618,0.0,159.0,78.0,0.0,0.14848173432125322,0.03549349855185249,0.0
27,147.075291068632,62.20253710630229,0.0,182.0,79.0,0.0,0.1549340550288506,0.03671132018937759,0.0
28,151.47551066023652,63.77845946019724,0.0,173.0,81.0,0.0,0.15978040839549515,0.037410979438386685,0.0
29,154.63074517471097,65.84813304836702,0.0,177.0,71.0,0.0,0.16332404408412615,0.03843451993833229,0.0
30,159.61976710425472,67.97081008977388,0.0,172.0,80.0,0.0,0.16881590829406246,0.03948512075531006,0.0
31,164.4449737510977,70.60993941813958,0.0,175.0,82.0,0.0,0.17414819186668057,0.0408706716342955,0.0
32,169.0200157866734,72.18181673909962,0.0,175.0,91.0,0.0,0.17922864550344625,0.041456012373292064,0.0
33,172.3661879335484,73.94336265890917,0.0,148.0,80.0,0.0,0.18301704231422294,0.04223786397422856,0.0
34,177.13173798322885,76.02878261694356,0.0,139.0,89.0,0.0,0.18832382419343197,0.043228690614250935,0.0
35,180.70602895394762,77.78479115482023,0.0,159.0,90.0,0.0,0.19237569594787055,0.04399146212333477,0.0
36,183.93066382038887,79.60486710309807,0.0,156.0,69.0,0.0,0.19606480363692774,0.04478891658702308,0.0
37,187.05128335919503,81.31611875413138,0.0,181.0,65.0,0.0,0.1996518742034953,0.04550510572345384,0.0
38,189.38797264946396,82.73783820445425,0.0,136.0,59.0,0.0,0.2024098088301826,0.04602248516101083,0.0
39,193.3942878072632,84.56454413231994,0.0,165.0,63.0,0.0,0.20696100572819498,0.04680758564781469,0.0
40,195.88975972006784,86.00910553073597,0.0,142.0,63.0,0.0,0.2099044312813415,0.04733049347586356,0.0
41,200.29190984711187,88.16078350402364,0.0,215.0,69.0,0.0,0.21490055568237473,0.048322026712325716,0.0
42,202.56796758076518,89.6815780373901,0.0,204.0,47.0,0.0,0.21762482162084468,0.04888288598838056,0.0
43,204.87227815967816,91.90194143178745,0.0,148.0,72.0,0.0,0.2203858221964376,0.04990687587291869,0.0
44,207.10106162763392,93.87820899078898,0.0,159.0,75.0,0.0,0.22307189245040931,0.05075946802549889,0.0
45,209.51463923808902,95.28158232750818,0.0,167.0,65.0,0.0,0.22596347563256075,0.051221257875398246,0.0
46,212.3828702922146,97.82913912447944,0.0,172.0,69.0,0.0,0.22935276579425182,0.05244320302874298,0.0
47,214.24447048075183,100.45543126202742,0.0,180.0,70.0,0.0,0.23166158298401607,0.05370786245199634,0.0
48,216.92567077911642,103.40025774634418,0.0,177.0,91.0,0.0,0.23486295964846016,0.055173515683249914,0.0
49,219.21801999565338,104.2997123952317,0.0,209.0,63.0,0.0,0.2376502613415914,0.05516900702646907,0.0
50,221.55694072226822,106.32369221788841,0.0,199.0,52.0,0.0,0.2404945032234494,0.056020177343296965,0.0
51,223.45348235264572,108.62662583144123,0.0,202.0,59.0,0.0,0.24286445516164037,0.05706638644715817,0.0
52,225.1688721418449,110.7886051935766,0.0,195.0,65.0,0.0,0.24504255177244388,0.05802063786464261,0.0
53,227.00655845529954,112.34904322855809,0.0,195.0,72.0,0.0,0.2473586897995393,0.058568067895598624,0.0
54,228.737075260489,113.51599055141106,0.0,168.0,76.0,0.0,0.2495630220492041,0.05885912875990606,0.0
