day,FTM_share,LB_share,OPP_share,FTM_conv,LB_conv,OPP_conv,FTM_churn,LB_churn,OPP_churn
0,6.144569019257883,2.9709915908090014,0.0,218.0,107.0,0.0,0.006241791552927738,0.0019813821639717674,0.0
1,9.98880294257592,5.831987062750765,0.0,244.0,92.0,0.0,0.010174678832502036,0.0038693929231011174,0.0
2,14.551969285901414,8.585238145939442,0.0,217.0,86.0,0.0,0.01486329922027508,0.005667835730240868,0.0
3,21.23022570713815,11.028804683717059,0.0,236.0,99.0,0.0,0.021743578763267227,0.0072442730331966345,0.0
4,26.0623794420084,12.44068844205445,0.0,221.0,90.0,0.0,0.026765184048669337,0.008116241662607594,0.0
5,32.24234259579072,13.551910215726249,0.0,245.0,84.0,0.0,0.033201623898586156,0.008778226328201223,0.0
6,38.5538855871759,14.993868553185507,0.0,224.0,90.0,0.0,0.03980835996617984,0.00965456576654904,0.0
7,44.25838638880501,16.354369026402992,0.0,212.0,85.0,0.0,0.04582177901604079,0.01046726871800107,0.0
8,49.84772004172471,17.50452876652636,0.0,173.0,72.0,0.0,0.051747428161375224,0.011130582457274467,0.0
9,55.16422028621498,19.47388414005951,0.0,210.0,83.0,0.0,0.057420230867810826,0.012335995254991444,0.0
10,59.59968062349017,22.37972668416696,0.0,185.0,85.0,0.0,0.062203132646340004,0.014157455892548684,0.0
11,65.29542302829722,25.36371264289894,0.0,238.0,82.0,0.0,0.06832959557877645,0.01601404126802497,0.0
12,70.42669185837435,27.606354556759552,0.0,198.0,92.0,0.0,0.07389552061645753,0.017358086139386622,0.0
13,75.54019348408157,29.54786663269634,0.0,197.0,75.0,0.0,0.0794713472657625,0.01848792406321035,0.0
14,80.3478728374208,31.050174775724344,0.0,213.0,68.0,0.0,0.08475307909321662,0.019313478593620842,0.0
15,85.30738038999799,34.029055141662276,0.0,204.0,84.0,0.0,0.09022217715252343,0.021119634062066277,0.0
16,90.0296462656576,35.76155404314215,0.0,189.0,75.0,0.0,0.09546734142844909,0.02207825632308879,0.0
17,95.55400062209496,38.278542794897156,0.0,187.0,78.0,0.0,0.10159158950858548,0.023551788785536494,0.0
18,100.71429682654335,40.55099020871404,0.0,202.0,85.0,0.0,0.10735854707733924,0.02484988348041136,0.0
19,105.80986039742398,43.20460135701296,0.0,184.0,75.0,0.0,0.11308507776801272,0.026388851701080684,0.0
20,111.3971601427185,45.47630038257917,0.0,172.0,73.0,0.0,0.11936692137214569,0.027655813143466976,0.0
21,115.79920520863242,47.786073901475724,0.0,143.0,83.0,0.0,0.12440654698930373,0.028936158522803693,0.0
22,120.66388309972082,50.75542931613835,0.0,169.0,87.0,0.0,0.1299690138810864,0.030644585337376247,0.0
23,124.26377927713284,53.2639403810598,0.0,168.0,82.0,0.0,0.13419275022530663,0.03202947561908739,0.0
24,128.6524050829393,55.149874382584954,0.0,203.0,71.0,0.0,0.13929049759370668,0.032984917393759576,0.0
25,134.57299613695423,57.385980792662565,0.0,193.0,84.0,0.0,0.1460756126517283,0.03416386019266505,0.0
26,139.3213780839019,59.43185912163988,0.0,169.0,77.0,0.0,0.15161805305231763,0.035202752103760185,0.0
27,145.60251881470828,61.846994639638524,0.0,182.0,81.0,0.0,0.15885926919365218,0.03647738522717061,0.0
28,148.3868748926973,63.40982402733759,0.0,154.0,74.0,0.0,0.16231058867764775,0.03717061230092446,0.0
29,151.3689660145119,65.77683376269967,0.0,175.0,79.0,0.0,0.16599426701533193,0.03839567004334056,0.0
30,155.79336144534358,67.87253956574298,0.0,147.0,79.0,0.0,0.17128024484397694,0.03942933209180079,0.0
31,160.55889660813952,70.4803935867254,0.0,176.0,84.0,0.0,0.17696688287996362,0.04079462766624997,0.0
32,164.93760186134637,71.69923222294219,0.0,176.0,71.0,0.0,0.18225264156507048,0.04116136378321654,0.0
33,168.1603562494026,73.59287368883263,0.0,156.0,88.0,0.0,0.18628228167950828,0.04203420978523095,0.0
34,172.96394644019784,75.21934281541067,0.0,145.0,68.0,0.0,0.19208548488047306,0.04272006261113916,0.0
35,177.09316310059097,76.47619022320606,0.0,190.0,65.0,0.0,0.19716465441525205,0.04315259220460701,0.0
36,179.6636037930678,78.67522392933739,0.0,143.0,83.0,0.0,0.20052704945862843,0.04420953711190648,0.0
37,183.87140035157563,80.76517583150098,0.0,192.0,79.0,0.0,0.20573582849821914,0.045183232971542885,0.0
38,186.43308953750378,82.47025137348868,0.0,139.0,76.0,0.0,0.20912162488264674,0.045892199947804316,0.0
39,189.74208347392954,84.36784983597849,0.0,153.0,74.0,0.0,0.2133620330242883,0.046725861834518864,0.0
40,191.80075496206462,86.07663958653507,0.0,168.0,72.0,0.0,0.21621143291791078,0.04742646565964179,0.0
